classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,"Agora, o mi mi mi deste elemento aí.","Agora, o mi mi mi deste elemento aí.",Agora o mi mi mi deste elemento aí,Agora o mi mi mi deste elemento ai,Agora mi mi mi deste elemento ai,agora mi mi mi deste elemento ai,agor mi mi mi dest element ai
1.0,"Não há dúvida, nosso ""pravda"" bolivarizou de vez...","Não há dúvida, nosso ""pravda"" bolivarizou de vez...",Não há dúvida nosso pravda bolivarizou de vez,Nao ha duvida nosso pravda bolivarizou de vez,Nao duvida pravda bolivarizou vez,nao duvida pravda bolivarizou vez,nao duvid pravd bolivariz vez
1.0,"Quer dizer então que a culpa pelo fiasco é da opos$$ç**o e da ""crise"" externa.","Quer dizer então que a culpa pelo fiasco é da opos$$ç**o e da ""crise"" externa.",Quer dizer então que a culpa pelo fiasco é da oposço e da crise externa,Quer dizer entao que a culpa pelo fiasco e da oposco e da crise externa,Quer dizer entao culpa fiasco oposco crise externa,quer dizer entao culpa fiasco oposco crise externa,qu diz enta culp fiasc oposc cris extern
1.0,É fácil gastar o dinheiro dos outros né ?,É fácil gastar o dinheiro dos outros né ?,É fácil gastar o dinheiro dos outros né ,E facil gastar o dinheiro dos outros ne ,E facil gastar dinheiro outros ne,e facil gastar dinheiro outros ne,e facil gast dinh outr ne
1.0,O Sr. quis dizer lambuzou foi a $$$$$ que pegaram ?,O Sr. quis dizer lambuzou foi a $$$$$ que pegaram ?,O Sr quis dizer lambuzou foi a  que pegaram ,O Sr quis dizer lambuzou foi a  que pegaram ,O Sr quis dizer lambuzou pegaram,o sr quis dizer lambuzou pegaram,o sr quil diz lambuz peg
1.0,O universo da politica suas engrenagens os médotos do exercicio politico !,O universo da politica suas engrenagens os médotos do exercicio politico !,O universo da politica suas engrenagens os médotos do exercicio politico ,O universo da politica suas engrenagens os medotos do exercicio politico ,O universo politica engrenagens medotos exercicio politico,o universo politica engrenagens medotos exercicio politico,o univers poli engren medot exercici poli
1.0,A presidenta não sabia de nada !!!??,A presidenta não sabia de nada !!!??,A presidenta não sabia de nada ,A presidenta nao sabia de nada ,A presidenta sabia nada,a presidenta sabia nada,a president sab nad
1.0,Será mesmo que só foram comer melado após chegarem à presidência da República?,Será mesmo que só foram comer melado após chegarem à presidência da República?,Será mesmo que só foram comer melado após chegarem à presidência da República,Sera mesmo que so foram comer melado apos chegarem a presidencia da Republica,Sera comer melado apos chegarem presidencia Republica,sera comer melado apos chegarem presidencia republica,ser com mel apo cheg presidenc republ
1.0,"Se o impeachment não ocorrer, novas explicações serão dadas pela turminha para justificar o malogro.","Se o impeachment não ocorrer, novas explicações serão dadas pela turminha para justificar o malogro.",Se o impeachment não ocorrer novas explicações serão dadas pela turminha para justificar o malogro,Se o impeachment nao ocorrer novas explicacoes serao dadas pela turminha para justificar o malogro,Se impeachment ocorrer novas explicacoes dadas turminha justificar malogro,se impeachment ocorrer novas explicacoes dadas turminha justificar malogro,se impeachment ocorr nov explicaco dad turm justific malogr
1.0,"Sugestão para o entrevistado: que tal assumir a Fazenda e com a ajuda da atual Mãe Menininha do Gantois, nos tirar do buraco profundo em que estamos metidos?","Sugestão para o entrevistado: que tal assumir a Fazenda e com a ajuda da atual Mãe Menininha do Gantois, nos tirar do buraco profundo em que estamos metidos?",Sugestão para o entrevistado que tal assumir a Fazenda e com a ajuda da atual Mãe Menininha do Gantois nos tirar do buraco profundo em que estamos metidos,Sugestao para o entrevistado que tal assumir a Fazenda e com a ajuda da atual Mae Menininha do Gantois nos tirar do buraco profundo em que estamos metidos,Sugestao entrevistado tal assumir Fazenda ajuda atual Mae Menininha Gantois tirar buraco profundo metidos,sugestao entrevistado tal assumir fazenda ajuda atual mae menininha gantois tirar buraco profundo metidos,sugesta entrevist tal assum fazend ajud atual mae menin gantoil tir burac profund met
1.0,confirmado pelo TCU que rejeitou as contas de dilma.... nao sabe o que falar : fala qualquer coisa .,confirmado pelo TCU que rejeitou as contas de dilma.... nao sabe o que falar : fala qualquer coisa .,confirmado pelo TCU que rejeitou as contas de dilma nao sabe o que falar  fala qualquer coisa ,confirmado pelo TCU que rejeitou as contas de dilma nao sabe o que falar  fala qualquer coisa ,confirmado TCU rejeitou contas dilma sabe falar fala qualquer coisa,confirmado tcu rejeitou contas dilma sabe falar fala qualquer coisa,confirm tcu rejeit cont dilm sab fal fal qualqu cois
1.0,"bandidagem é ser ""politizado""???","bandidagem é ser ""politizado""???",bandidagem é ser politizado,bandidagem e ser politizado,bandidagem ser politizado,bandidagem ser politizado,bandid ser poli
1.0,(Fora a honestidade do Lula),(Fora a honestidade do Lula),Fora a honestidade do Lula,Fora a honestidade do Lula,Fora honestidade Lula,fora honestidade lula,for honest lul
1.0,"Jaques Wagner falou a verdade e por isso suas declarações tiveram essa repercussão negativa, entre os petistas.","Jaques Wagner falou a verdade e por isso suas declarações tiveram essa repercussão negativa, entre os petistas.",Jaques Wagner falou a verdade e por isso suas declarações tiveram essa repercussão negativa entre os petistas,Jaques Wagner falou a verdade e por isso suas declaracoes tiveram essa repercussao negativa entre os petistas,Jaques Wagner falou verdade declaracoes repercussao negativa petistas,jaques wagner falou verdade declaracoes repercussao negativa petistas,jaqu wagn fal verdad declaraco repercussa nega petist
1.0,"Uma coisa temos que admitir, os pestistas primam pela originalidade: todos são mentirosos.","Uma coisa temos que admitir, os pestistas primam pela originalidade: todos são mentirosos.",Uma coisa temos que admitir os pestistas primam pela originalidade todos são mentirosos,Uma coisa temos que admitir os pestistas primam pela originalidade todos sao mentirosos,Uma coisa admitir pestistas primam originalidade todos mentirosos,uma coisa admitir pestistas primam originalidade todos mentirosos,uma cois admit pest prim original tod mentir
1.0,"O ptzão acabou turma que o defende até hoje, voces hoje são um balaio de ratos, alguns pulam fora, outros acostumados com a teta se revoltam e dizem o que pensa este é o caso do Jaques, na próxima eleição voces terão que mudar para cuba para não serem presos.","O ptzão acabou turma que o defende até hoje, voces hoje são um balaio de ratos, alguns pulam fora, outros acostumados com a teta se revoltam e dizem o que pensa este é o caso do Jaques, na próxima eleição voces terão que mudar para cuba para não serem presos.",O ptzão acabou turma que o defende até hoje voces hoje são um balaio de ratos alguns pulam fora outros acostumados com a teta se revoltam e dizem o que pensa este é o caso do Jaques na próxima eleição voces terão que mudar para cuba para não serem presos,O ptzao acabou turma que o defende ate hoje voces hoje sao um balaio de ratos alguns pulam fora outros acostumados com a teta se revoltam e dizem o que pensa este e o caso do Jaques na proxima eleicao voces terao que mudar para cuba para nao serem presos,O ptzao acabou turma defende hoje hoje balaio ratos alguns pulam outros acostumados teta revoltam dizem pensa caso Jaques proxima eleicao mudar cuba serem presos,o ptzao acabou turma defende hoje hoje balaio ratos alguns pulam outros acostumados teta revoltam dizem pensa caso jaques proxima eleicao mudar cuba serem presos,o ptza acab turm defend hoj hoj balai rat algum pul outr acostum tet revolt diz pens cas jaqu prox eleica mud cub ser pres
1.0,"Eu escrevo lindas palavras do partido, do ex e da presidan, taí, não publicam. ","Eu escrevo lindas palavras do partido, do ex e da presidan, taí, não publicam. ",Eu escrevo lindas palavras do partido do ex e da presidan taí não publicam ,Eu escrevo lindas palavras do partido do ex e da presidan tai nao publicam ,Eu escrevo lindas palavras partido ex presidan tai publicam,eu escrevo lindas palavras partido ex presidan tai publicam,eu escrev lind palavr part ex presidan tai public
1.0,Sera´que escrevo mal ou bem demais,Sera´que escrevo mal ou bem demais,Seraque escrevo mal ou bem demais,Seraque escrevo mal ou bem demais,Seraque escrevo mal bem demais,seraque escrevo mal bem demais,seraqu escrev mal bem demal
1.0,A grande obra de Lula foi não ter feito nenhuma das bravatas demagógicas que ele e seu PT prometeram ao longo de anos.,A grande obra de Lula foi não ter feito nenhuma das bravatas demagógicas que ele e seu PT prometeram ao longo de anos.,A grande obra de Lula foi não ter feito nenhuma das bravatas demagógicas que ele e seu PT prometeram ao longo de anos,A grande obra de Lula foi nao ter feito nenhuma das bravatas demagogicas que ele e seu PT prometeram ao longo de anos,A grande obra Lula ter feito nenhuma bravatas demagogicas PT prometeram longo anos,a grande obra lula ter feito nenhuma bravatas demagogicas pt prometeram longo anos,a grand obr lul ter feit nenhum bravat demagog pt promet long ano
1.0,"Sim, o grande feito delle foi não fazer nada, quando sua aprendiz começou a fazer, por ordens delle, deu no que estamos vendo!","Sim, o grande feito delle foi não fazer nada, quando sua aprendiz começou a fazer, por ordens delle, deu no que estamos vendo!",Sim o grande feito delle foi não fazer nada quando sua aprendiz começou a fazer por ordens delle deu no que estamos vendo,Sim o grande feito delle foi nao fazer nada quando sua aprendiz comecou a fazer por ordens delle deu no que estamos vendo,Sim grande feito delle fazer nada aprendiz comecou fazer ordens delle deu vendo,sim grande feito delle fazer nada aprendiz comecou fazer ordens delle deu vendo,sim grand feit dell faz nad aprendiz comec faz ord dell deu vend
1.0,"""Com a responsabilidade que ele tem, deveria ser menos metafórico e mais politizado nas suas declarações"", reagiu Tarso.(será que de responsabilidade ele entende?)","""Com a responsabilidade que ele tem, deveria ser menos metafórico e mais politizado nas suas declarações"", reagiu Tarso.(será que de responsabilidade ele entende?)",Com a responsabilidade que ele tem deveria ser menos metafórico e mais politizado nas suas declarações reagiu Tarsoserá que de responsabilidade ele entende,Com a responsabilidade que ele tem deveria ser menos metaforico e mais politizado nas suas declaracoes reagiu Tarsosera que de responsabilidade ele entende,Com responsabilidade deveria ser menos metaforico politizado declaracoes reagiu Tarsosera responsabilidade entende,com responsabilidade deveria ser menos metaforico politizado declaracoes reagiu tarsosera responsabilidade entende,com respons dev ser menos metafor poli declaraco reag tarsos respons entend
1.0,Belíssimo modelo de ética e moral dos vermelhos chupins.,Belíssimo modelo de ética e moral dos vermelhos chupins.,Belíssimo modelo de ética e moral dos vermelhos chupins,Belissimo modelo de etica e moral dos vermelhos chupins,Belissimo modelo etica moral vermelhos chupins,belissimo modelo etica moral vermelhos chupins,beliss model etic moral vermelh chupim
1.0,"Veja que hoje o governo ""democrático"" de lá está na tentativa de impedir a posse dos representantes eleitos da oposição.","Veja que hoje o governo ""democrático"" de lá está na tentativa de impedir a posse dos representantes eleitos da oposição.",Veja que hoje o governo democrático de lá está na tentativa de impedir a posse dos representantes eleitos da oposição,Veja que hoje o governo democratico de la esta na tentativa de impedir a posse dos representantes eleitos da oposicao,Veja hoje governo democratico la tentativa impedir posse representantes eleitos oposicao,veja hoje governo democratico la tentativa impedir posse representantes eleitos oposicao,vej hoj govern democra la tent imped poss represent eleit oposica
1.0,"Os bonitos donos da razão não tem a humildade para sobreviver a críticas, tem que cometer os erros e ainda sim estar mentindo para população.","Os bonitos donos da razão não tem a humildade para sobreviver a críticas, tem que cometer os erros e ainda sim estar mentindo para população.",Os bonitos donos da razão não tem a humildade para sobreviver a críticas tem que cometer os erros e ainda sim estar mentindo para população,Os bonitos donos da razao nao tem a humildade para sobreviver a criticas tem que cometer os erros e ainda sim estar mentindo para populacao,Os bonitos donos razao humildade sobreviver criticas cometer erros ainda sim estar mentindo populacao,os bonitos donos razao humildade sobreviver criticas cometer erros ainda sim estar mentindo populacao,os bonit don raza humildad sobreviv crit comet err aind sim est ment populaca
1.0,"O governo jamais se afastou de suas bases sociais, muito pelo contrário, sempre irrigou esses movimentos ditos sociais com fartas e generosas verbas públicas.","O governo jamais se afastou de suas bases sociais, muito pelo contrário, sempre irrigou esses movimentos ditos sociais com fartas e generosas verbas públicas.",O governo jamais se afastou de suas bases sociais muito pelo contrário sempre irrigou esses movimentos ditos sociais com fartas e generosas verbas públicas,O governo jamais se afastou de suas bases sociais muito pelo contrario sempre irrigou esses movimentos ditos sociais com fartas e generosas verbas publicas,O governo jamais afastou bases sociais contrario sempre irrigou movimentos ditos sociais fartas generosas verbas publicas,o governo jamais afastou bases sociais contrario sempre irrigou movimentos ditos sociais fartas generosas verbas publicas,o govern jamal afast bas soc contrari sempr irrig mov dit soc fart gener verb publ
1.0,"autarquias e agências reguladoras com comissários do partido, falar em governo supra-partidário é uma tremenda infantilidade.","autarquias e agências reguladoras com comissários do partido, falar em governo supra-partidário é uma tremenda infantilidade.",autarquias e agências reguladoras com comissários do partido falar em governo suprapartidário é uma tremenda infantilidade,autarquias e agencias reguladoras com comissarios do partido falar em governo suprapartidario e uma tremenda infantilidade,autarquias agencias reguladoras comissarios partido falar governo suprapartidario tremenda infantilidade,autarquias agencias reguladoras comissarios partido falar governo suprapartidario tremenda infantilidade,autarqu agenc regul comissari part fal govern suprapartidari tremend infantil
1.0,"Acontece que a Lava Jato está, cada dia mais e devagar, desmistificando a santa alma de São Luiz Inácio 51.","Acontece que a Lava Jato está, cada dia mais e devagar, desmistificando a santa alma de São Luiz Inácio 51.",Acontece que a Lava Jato está cada dia mais e devagar desmistificando a santa alma de São Luiz Inácio 51,Acontece que a Lava Jato esta cada dia mais e devagar desmistificando a santa alma de Sao Luiz Inacio 51,Acontece Lava Jato cada dia devagar desmistificando santa alma Sao Luiz Inacio 51,acontece lava jato cada dia devagar desmistificando santa alma sao luiz inacio 51,acontec lav jat cad dia devag desmistific sant alm sao luiz inaci 51
1.0,"Junto com aquele mais honesto do país, que tinham até que canonizá lo de tão Santo que é!","Junto com aquele mais honesto do país, que tinham até que canonizá lo de tão Santo que é!",Junto com aquele mais honesto do país que tinham até que canonizá lo de tão Santo que é,Junto com aquele mais honesto do pais que tinham ate que canoniza lo de tao Santo que e,Junto honesto pais canoniza lo tao Santo,junto honesto pais canoniza lo tao santo,junt honest pal canoniz lo tao sant
1.0,"Tenho que postar aos pedaços porque sou censurado, ou desculpem, sofro moderação!, se envio o texto completo.","Tenho que postar aos pedaços porque sou censurado, ou desculpem, sofro moderação!, se envio o texto completo.",Tenho que postar aos pedaços porque sou censurado ou desculpem sofro moderação se envio o texto completo,Tenho que postar aos pedacos porque sou censurado ou desculpem sofro moderacao se envio o texto completo,Tenho postar pedacos porque censurado desculpem sofro moderacao envio texto completo,tenho postar pedacos porque censurado desculpem sofro moderacao envio texto completo,tenh post pedac porqu censur desculp sofr moderaca envi text complet
1.0,"pelo menos o MTST está sendo coerente não indo apoiar o pixuleco , aliás eles poderiam ir lá dar um pulinho no triplex e ocupá-lo , pois não é de ninguém pelo que afirmam os investigados ...","pelo menos o MTST está sendo coerente não indo apoiar o pixuleco , aliás eles poderiam ir lá dar um pulinho no triplex e ocupá-lo , pois não é de ninguém pelo que afirmam os investigados ...",pelo menos o MTST está sendo coerente não indo apoiar o pixuleco  aliás eles poderiam ir lá dar um pulinho no triplex e ocupálo  pois não é de ninguém pelo que afirmam os investigados ,pelo menos o MTST esta sendo coerente nao indo apoiar o pixuleco  alias eles poderiam ir la dar um pulinho no triplex e ocupalo  pois nao e de ninguem pelo que afirmam os investigados ,menos MTST sendo coerente indo apoiar pixuleco alias poderiam ir la dar pulinho triplex ocupalo pois ninguem afirmam investigados,menos mtst sendo coerente indo apoiar pixuleco alias poderiam ir la dar pulinho triplex ocupalo pois ninguem afirmam investigados,menos mtst send coer ind apoi pixulec ali pod ir la dar pul triplex ocupal poi ning afirm investig
1.0,O meu velho AP está precisando com urgência de uma reforminha básica.,O meu velho AP está precisando com urgência de uma reforminha básica.,O meu velho AP está precisando com urgência de uma reforminha básica,O meu velho AP esta precisando com urgencia de uma reforminha basica,O velho AP precisando urgencia reforminha basica,o velho ap precisando urgencia reforminha basica,o velh ap precis urgenc reform basic
1.0,E não há necessidade de elevador privativo.,E não há necessidade de elevador privativo.,E não há necessidade de elevador privativo,E nao ha necessidade de elevador privativo,E necessidade elevador privativo,e necessidade elevador privativo,e necess elev priv
1.0,O meu velho AP está precisando com urgência de uma reforminha básica e não há necessidade de elevador privativo.,O meu velho AP está precisando com urgência de uma reforminha básica e não há necessidade de elevador privativo.,O meu velho AP está precisando com urgência de uma reforminha básica e não há necessidade de elevador privativo,O meu velho AP esta precisando com urgencia de uma reforminha basica e nao ha necessidade de elevador privativo,O velho AP precisando urgencia reforminha basica necessidade elevador privativo,o velho ap precisando urgencia reforminha basica necessidade elevador privativo,o velh ap precis urgenc reform basic necess elev priv
1.0,O Polvo líder mundial?!!!,O Polvo líder mundial?!!!,O Polvo líder mundial,O Polvo lider mundial,O Polvo lider mundial,o polvo lider mundial,o polv lid mund
1.0,"Estas ""entidades"" deveriam ser fechadas e os responsáveis processados com associação com crimes!","Estas ""entidades"" deveriam ser fechadas e os responsáveis processados com associação com crimes!",Estas entidades deveriam ser fechadas e os responsáveis processados com associação com crimes,Estas entidades deveriam ser fechadas e os responsaveis processados com associacao com crimes,Estas entidades deveriam ser fechadas responsaveis processados associacao crimes,estas entidades deveriam ser fechadas responsaveis processados associacao crimes,est entidad dev ser fech responsa process associaca crim
1.0,"As nove da manhã de uma quarta-feira, manifestantes na rua... bom, pelos efeitos da política da gerenta aprendiz do consultor mundial é possível que tenhamos muitas pessoas desocupadas mesmo..","As nove da manhã de uma quarta-feira, manifestantes na rua... bom, pelos efeitos da política da gerenta aprendiz do consultor mundial é possível que tenhamos muitas pessoas desocupadas mesmo..",As nove da manhã de uma quartafeira manifestantes na rua bom pelos efeitos da política da gerenta aprendiz do consultor mundial é possível que tenhamos muitas pessoas desocupadas mesmo,As nove da manha de uma quartafeira manifestantes na rua bom pelos efeitos da politica da gerenta aprendiz do consultor mundial e possivel que tenhamos muitas pessoas desocupadas mesmo,As nove manha quartafeira manifestantes rua bom efeitos politica gerenta aprendiz consultor mundial possivel muitas pessoas desocupadas,as nove manha quartafeira manifestantes rua bom efeitos politica gerenta aprendiz consultor mundial possivel muitas pessoas desocupadas,as nov manh quartaf manifest rua bom efeit poli gerent aprendiz consult mund possi muit pesso desocup
1.0,aqui não ter guerra civil sempre acaba em samba.,aqui não ter guerra civil sempre acaba em samba.,aqui não ter guerra civil sempre acaba em samba,aqui nao ter guerra civil sempre acaba em samba,aqui ter guerra civil sempre acaba samba,aqui ter guerra civil sempre acaba samba,aqu ter guerr civil sempr acab samb
1.0,viva o povo brasileiro .,viva o povo brasileiro .,viva o povo brasileiro ,viva o povo brasileiro ,viva povo brasileiro,viva povo brasileiro,viv pov brasil
1.0,"Ser anima pete: por quanto tempo dizer o larápio , não sei , não sei .não sei . não sei .","Ser anima pete: por quanto tempo dizer o larápio , não sei , não sei .não sei . não sei .",Ser anima pete por quanto tempo dizer o larápio  não sei  não sei não sei  não sei ,Ser anima pete por quanto tempo dizer o larapio  nao sei  nao sei nao sei  nao sei ,Ser anima pete quanto tempo dizer larapio sei sei sei sei,ser anima pete quanto tempo dizer larapio sei sei sei sei,ser anim pet quant temp diz larapi sei sei sei sei
1.0,"presidente do Congresso rouba, presidente do Senado também, e é um tal de beija mão, é muita falta de caráter, e essa ""coisa"" dando uma de salvadora da pátria, foi ela que afundou o Brasil, e vai lá para pedir mais sacrifício para o povo, é muito nojento!","presidente do Congresso rouba, presidente do Senado também, e é um tal de beija mão, é muita falta de caráter, e essa ""coisa"" dando uma de salvadora da pátria, foi ela que afundou o Brasil, e vai lá para pedir mais sacrifício para o povo, é muito nojento!",presidente do Congresso rouba presidente do Senado também e é um tal de beija mão é muita falta de caráter e essa coisa dando uma de salvadora da pátria foi ela que afundou o Brasil e vai lá para pedir mais sacrifício para o povo é muito nojento,presidente do Congresso rouba presidente do Senado tambem e e um tal de beija mao e muita falta de carater e essa coisa dando uma de salvadora da patria foi ela que afundou o Brasil e vai la para pedir mais sacrificio para o povo e muito nojento,presidente Congresso rouba presidente Senado tal beija mao muita falta carater coisa dando salvadora patria afundou Brasil vai la pedir sacrificio povo nojento,presidente congresso rouba presidente senado tal beija mao muita falta carater coisa dando salvadora patria afundou brasil vai la pedir sacrificio povo nojento,presid congress roub presid sen tal beij mao muit falt carat cois dand salv patr afund brasil vai la ped sacrifici pov nojent
1.0,"Agora que não tem mais como esconder tanta besteira feita nesses 14 anos, querem ""parceria, para dividir a culpa, lógico.","Agora que não tem mais como esconder tanta besteira feita nesses 14 anos, querem ""parceria, para dividir a culpa, lógico.",Agora que não tem mais como esconder tanta besteira feita nesses 14 anos querem parceria para dividir a culpa lógico,Agora que nao tem mais como esconder tanta besteira feita nesses 14 anos querem parceria para dividir a culpa logico,Agora esconder tanta besteira feita nesses 14 anos querem parceria dividir culpa logico,agora esconder tanta besteira feita nesses 14 anos querem parceria dividir culpa logico,agor escond tant beste feit ness 14 ano quer parc divid culp logic
1.0,Não tinham dito ter destravado o Brasil?,Não tinham dito ter destravado o Brasil?,Não tinham dito ter destravado o Brasil,Nao tinham dito ter destravado o Brasil,Nao dito ter destravado Brasil,nao dito ter destravado brasil,nao dit ter destrav brasil
1.0,"Em 2013 essa senhora disse que o Brasil estava num dos melhores momentos, isso falando já na beira do abismo.","Em 2013 essa senhora disse que o Brasil estava num dos melhores momentos, isso falando já na beira do abismo.",Em 2013 essa senhora disse que o Brasil estava num dos melhores momentos isso falando já na beira do abismo,Em 2013 essa senhora disse que o Brasil estava num dos melhores momentos isso falando ja na beira do abismo,Em 2013 senhora disse Brasil melhores momentos falando beira abismo,em 2013 senhora disse brasil melhores momentos falando beira abismo,em 2013 senh diss brasil melhor moment fal beir abism
1.0,"""Que “conversa”, senão a que faz o Boi dormir, pode querer uma presidente que, a Todo momento, chama os Opositores de “Golpistas”?","""Que “conversa”, senão a que faz o Boi dormir, pode querer uma presidente que, a Todo momento, chama os Opositores de “Golpistas”?",Que conversa senão a que faz o Boi dormir pode querer uma presidente que a Todo momento chama os Opositores de Golpistas,Que conversa senao a que faz o Boi dormir pode querer uma presidente que a Todo momento chama os Opositores de Golpistas,Que conversa senao faz Boi dormir pode querer presidente Todo momento chama Opositores Golpistas,que conversa senao faz boi dormir pode querer presidente todo momento chama opositores golpistas,que convers sena faz boi dorm pod quer presid tod moment cham oposi golp
1.0,Que pode querer Dilma com esse “diálogo” senão um Sócio para dividir a Responsabilidade pelas medidas Impopulares que ela Inevitavelmente terá de adotar para Amenizar os danos de sua Trágica administração?,Que pode querer Dilma com esse “diálogo” senão um Sócio para dividir a Responsabilidade pelas medidas Impopulares que ela Inevitavelmente terá de adotar para Amenizar os danos de sua Trágica administração?,Que pode querer Dilma com esse diálogo senão um Sócio para dividir a Responsabilidade pelas medidas Impopulares que ela Inevitavelmente terá de adotar para Amenizar os danos de sua Trágica administração,Que pode querer Dilma com esse dialogo senao um Socio para dividir a Responsabilidade pelas medidas Impopulares que ela Inevitavelmente tera de adotar para Amenizar os danos de sua Tragica administracao,Que pode querer Dilma dialogo senao Socio dividir Responsabilidade medidas Impopulares Inevitavelmente adotar Amenizar danos Tragica administracao,que pode querer dilma dialogo senao socio dividir responsabilidade medidas impopulares inevitavelmente adotar amenizar danos tragica administracao,que pod quer dilm dialog sena soci divid respons med impopul inevita adot ameniz dan trag administraca
1.0,"Seu apelo à Oposição tem o mesmo valor que suas Promessas de campanha – serve somente para Enganar os Incautos"" *Estadinho","Seu apelo à Oposição tem o mesmo valor que suas Promessas de campanha – serve somente para Enganar os Incautos"" *Estadinho",Seu apelo à Oposição tem o mesmo valor que suas Promessas de campanha  serve somente para Enganar os Incautos Estadinho,Seu apelo a Oposicao tem o mesmo valor que suas Promessas de campanha  serve somente para Enganar os Incautos Estadinho,Seu apelo Oposicao valor Promessas campanha serve somente Enganar Incautos Estadinho,seu apelo oposicao valor promessas campanha serve somente enganar incautos estadinho,seu apel oposica val promess campanh serv soment engan incaut est
1.0,"Devemos ser grato ao P.T e seus eleitores, não é verdade?","Devemos ser grato ao P.T e seus eleitores, não é verdade?",Devemos ser grato ao PT e seus eleitores não é verdade,Devemos ser grato ao PT e seus eleitores nao e verdade,Devemos ser grato PT eleitores verdade,devemos ser grato pt eleitores verdade,dev ser grat pt elei verdad
1.0,Todos são iguais perante a Lei... mas a Lei não é igual pros Tucanos.,Todos são iguais perante a Lei... mas a Lei não é igual pros Tucanos.,Todos são iguais perante a Lei mas a Lei não é igual pros Tucanos,Todos sao iguais perante a Lei mas a Lei nao e igual pros Tucanos,Todos iguais perante Lei Lei igual pros Tucanos,todos iguais perante lei lei igual pros tucanos,tod igual per lei lei igual pro tucan
1.0,Nem a Mídia é igual para os Petistas.,Nem a Mídia é igual para os Petistas.,Nem a Mídia é igual para os Petistas,Nem a Midia e igual para os Petistas,Nem Midia igual Petistas,nem midia igual petistas,nem mid igual petist
1.0,"Ontem, o professor de Ética Carlos Alberto di Franco que (sem dúvida) lê o Globo e a Folha todo santo dia, denunciou que há uma acelerada ""nova democracia” no Brasil, ""totalitária e ditatorial, que pretende espoliar milhões de cidadãos do direito fundamental de OPINAR, essencial à Democracia"".","Ontem, o professor de Ética Carlos Alberto di Franco que (sem dúvida) lê o Globo e a Folha todo santo dia, denunciou que há uma acelerada ""nova democracia” no Brasil, ""totalitária e ditatorial, que pretende espoliar milhões de cidadãos do direito fundamental de OPINAR, essencial à Democracia"".",Ontem o professor de Ética Carlos Alberto di Franco que sem dúvida lê o Globo e a Folha todo santo dia denunciou que há uma acelerada nova democracia no Brasil totalitária e ditatorial que pretende espoliar milhões de cidadãos do direito fundamental de OPINAR essencial à Democracia,Ontem o professor de Etica Carlos Alberto di Franco que sem duvida le o Globo e a Folha todo santo dia denunciou que ha uma acelerada nova democracia no Brasil totalitaria e ditatorial que pretende espoliar milhoes de cidadaos do direito fundamental de OPINAR essencial a Democracia,Ontem professor Etica Carlos Alberto di Franco duvida le Globo Folha todo santo dia denunciou acelerada nova democracia Brasil totalitaria ditatorial pretende espoliar milhoes cidadaos direito fundamental OPINAR essencial Democracia,ontem professor etica carlos alberto di franco duvida le globo folha todo santo dia denunciou acelerada nova democracia brasil totalitaria ditatorial pretende espoliar milhoes cidadaos direito fundamental opinar essencial democracia,ont profes etic carl albert di franc duvid le glob folh tod sant dia denunci aceler nov democrac brasil totalit ditator pretend espoli milho cidada direit fundament opin essenc democrac
1.0,"Di Franco foi franco e perspicaz : ""a ditadura ideológica constrange a cidadania""!!","Di Franco foi franco e perspicaz : ""a ditadura ideológica constrange a cidadania""!!",Di Franco foi franco e perspicaz  a ditadura ideológica constrange a cidadania,Di Franco foi franco e perspicaz  a ditadura ideologica constrange a cidadania,Di Franco franco perspicaz ditadura ideologica constrange cidadania,di franco franco perspicaz ditadura ideologica constrange cidadania,di franc franc perspicaz ditad ideolog constrang cidadan
1.0,"A doutora Dilma está pedindo uma ""parceria"" com quem paga imposto.","A doutora Dilma está pedindo uma ""parceria"" com quem paga imposto.",A doutora Dilma está pedindo uma parceria com quem paga imposto,A doutora Dilma esta pedindo uma parceria com quem paga imposto,A doutora Dilma pedindo parceria paga imposto,a doutora dilma pedindo parceria paga imposto,a dou dilm ped parc pag impost
1.0,"Nossos aeroportos estão aí, belos e funcionais, (como nunca antes em nossa História) prontos pra fazer com que os ""competentes"" mostrem lá fora que são mesmo competentes.","Nossos aeroportos estão aí, belos e funcionais, (como nunca antes em nossa História) prontos pra fazer com que os ""competentes"" mostrem lá fora que são mesmo competentes.",Nossos aeroportos estão aí belos e funcionais como nunca antes em nossa História prontos pra fazer com que os competentes mostrem lá fora que são mesmo competentes,Nossos aeroportos estao ai belos e funcionais como nunca antes em nossa Historia prontos pra fazer com que os competentes mostrem la fora que sao mesmo competentes,Nossos aeroportos ai belos funcionais nunca antes Historia prontos pra fazer competentes mostrem la competentes,nossos aeroportos ai belos funcionais nunca antes historia prontos pra fazer competentes mostrem la competentes,noss aeroport ai bel func nunc ant hist pront pra faz compet mostr la compet
