sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
"O estrago que o PT fez no ideário e imagem da Esquerda deve deixar muito satisfeitos Pinochet, Franco e Hitler...","O estrago que o PT fez no ideário e imagem da Esquerda deve deixar muito satisfeitos Pinochet, Franco e Hitler...",1,O estrago que o PT fez no ideário e imagem da Esquerda deve deixar muito satisfeitos Pinochet Franco e Hitler,O estrago que o PT fez no ideario e imagem da Esquerda deve deixar muito satisfeitos Pinochet Franco e Hitler,O estrago PT fez ideario imagem Esquerda deve deixar satisfeitos Pinochet Franco Hitler,o estrago pt fez ideario imagem esquerda deve deixar satisfeitos pinochet franco hitler,o estrag pt fez ideari imag esquerd dev deix satisfeit pinochet franc hitl
"Ahh, foram eles!","Ahh, foram eles!",1,Ahh foram eles,Ahh foram eles,Ahh,ahh,ahh
"O fugido do Rio Grande do Sul Tarso Genro, que lindamente ele quebrou, deveria ir achar um trabalho...","O fugido do Rio Grande do Sul Tarso Genro, que lindamente ele quebrou, deveria ir achar um trabalho...",1,O fugido do Rio Grande do Sul Tarso Genro que lindamente ele quebrou deveria ir achar um trabalho,O fugido do Rio Grande do Sul Tarso Genro que lindamente ele quebrou deveria ir achar um trabalho,O fugido Rio Grande Sul Tarso Genro lindamente quebrou deveria ir achar trabalho,o fugido rio grande sul tarso genro lindamente quebrou deveria ir achar trabalho,o fug rio grand sul tars genr lind quebr dev ir ach trabalh
"""Com a responsabilidade que ele tem, deveria ser menos metafórico e mais politizado nas suas declarações"", reagiu Tarso.(será que de responsabilidade ele entende?)","""Com a responsabilidade que ele tem, deveria ser menos metafórico e mais politizado nas suas declarações"", reagiu Tarso.(será que de responsabilidade ele entende?)",1,Com a responsabilidade que ele tem deveria ser menos metafórico e mais politizado nas suas declarações reagiu Tarsoserá que de responsabilidade ele entende,Com a responsabilidade que ele tem deveria ser menos metaforico e mais politizado nas suas declaracoes reagiu Tarsosera que de responsabilidade ele entende,Com responsabilidade deveria ser menos metaforico politizado declaracoes reagiu Tarsosera responsabilidade entende,com responsabilidade deveria ser menos metaforico politizado declaracoes reagiu tarsosera responsabilidade entende,com respons dev ser menos metafor poli declaraco reag tarsos respons entend
Certo ou errado professor ?,Certo ou errado professor ?,1,Certo ou errado professor ,Certo ou errado professor ,Certo errado professor,certo errado professor,cert err profes
Belíssimo modelo de ética e moral dos vermelhos chupins.,Belíssimo modelo de ética e moral dos vermelhos chupins.,1,Belíssimo modelo de ética e moral dos vermelhos chupins,Belissimo modelo de etica e moral dos vermelhos chupins,Belissimo modelo etica moral vermelhos chupins,belissimo modelo etica moral vermelhos chupins,beliss model etic moral vermelh chupim
"O PT acha pouco ter destruído Petrobrás, Eletrobrás, fundos de pensão, o Brasil enfim.","O PT acha pouco ter destruído Petrobrás, Eletrobrás, fundos de pensão, o Brasil enfim.",1,O PT acha pouco ter destruído Petrobrás Eletrobrás fundos de pensão o Brasil enfim,O PT acha pouco ter destruido Petrobras Eletrobras fundos de pensao o Brasil enfim,O PT acha pouco ter destruido Petrobras Eletrobras fundos pensao Brasil enfim,o pt acha pouco ter destruido petrobras eletrobras fundos pensao brasil enfim,o pt ach pouc ter destru petrobr eletrobr fund pensa brasil enfim
"Veja que curioso: o inconsequente Tarso Genro que, como ex-governador, quebrou, literalmente, o Rio Grande do Sul, vem em socorro de seus amigos quadrilheiros.","Veja que curioso: o inconsequente Tarso Genro que, como ex-governador, quebrou, literalmente, o Rio Grande do Sul, vem em socorro de seus amigos quadrilheiros.",1,Veja que curioso o inconsequente Tarso Genro que como exgovernador quebrou literalmente o Rio Grande do Sul vem em socorro de seus amigos quadrilheiros,Veja que curioso o inconsequente Tarso Genro que como exgovernador quebrou literalmente o Rio Grande do Sul vem em socorro de seus amigos quadrilheiros,Veja curioso inconsequente Tarso Genro exgovernador quebrou literalmente Rio Grande Sul vem socorro amigos quadrilheiros,veja curioso inconsequente tarso genro exgovernador quebrou literalmente rio grande sul vem socorro amigos quadrilheiros,vej curi inconsequ tars genr exgovern quebr liter rio grand sul vem socorr amig quadrilh
"Acho engraçado quando os bolivarianos dizem de boca cheia: [""Estado Democrático de Direito""]P1.","Acho engraçado quando os bolivarianos dizem de boca cheia: [""Estado Democrático de Direito""]P1.",1,Acho engraçado quando os bolivarianos dizem de boca cheia Estado Democrático de DireitoP1,Acho engracado quando os bolivarianos dizem de boca cheia Estado Democratico de DireitoP1,Acho engracado bolivarianos dizem boca cheia Estado Democratico DireitoP1,acho engracado bolivarianos dizem boca cheia estado democratico direitop1,ach engrac bolivari diz boc chei est democra direitop1
Dois pontos.,Dois pontos.,1,Dois pontos,Dois pontos,Dois pontos,dois pontos,doi pont
Agora o JW virou [coxinha]P5 [kkkkkkkkk]P5.,Agora o JW virou coxinha kkkkkkkkk.,1,Agora o JW virou coxinha kkkkkkkkk,Agora o JW virou coxinha kkkkkkkkk,Agora JW virou coxinha kkkkkkkkk,agora jw virou coxinha kkkkkkkkk,agor jw vir cox kkkkkkkkk
Essa senhora apareceu?!,Essa senhora apareceu?!,1,Essa senhora apareceu,Essa senhora apareceu,Essa senhora apareceu,essa senhora apareceu,ess senh aparec
Onde estava quando ocorreu o desastre ambiental de Mariana?!,Onde estava quando ocorreu o desastre ambiental de Mariana?!,1,Onde estava quando ocorreu o desastre ambiental de Mariana,Onde estava quando ocorreu o desastre ambiental de Mariana,Onde ocorreu desastre ambiental Mariana,onde ocorreu desastre ambiental mariana,ond ocorr desastr ambient mari
"Até hoje nunca ouvi uma vírgula dela sobre o ocorrido... a defesa ambiental só serve de discurso em época de eleição, não é?","Até hoje nunca ouvi uma vírgula dela sobre o ocorrido... a defesa ambiental só serve de discurso em época de eleição, não é?",1,Até hoje nunca ouvi uma vírgula dela sobre o ocorrido a defesa ambiental só serve de discurso em época de eleição não é,Ate hoje nunca ouvi uma virgula dela sobre o ocorrido a defesa ambiental so serve de discurso em epoca de eleicao nao e,Ate hoje nunca ouvi virgula sobre ocorrido defesa ambiental serve discurso epoca eleicao,ate hoje nunca ouvi virgula sobre ocorrido defesa ambiental serve discurso epoca eleicao,ate hoj nunc ouv virgul sobr ocorr defês ambient serv discurs epoc eleica
"Mas fique tranquila ...voce, com seu linguajar empolado, também não!","Mas fique tranquila ...voce, com seu linguajar empolado, também não!",1,Mas fique tranquila voce com seu linguajar empolado também não,Mas fique tranquila voce com seu linguajar empolado tambem nao,Mas fique tranquila linguajar empolado,mas fique tranquila linguajar empolado,mas fiqu tranquil linguaj empol
Liderança política; ela já teve isso?,Liderança política; ela já teve isso?,1,Liderança política ela já teve isso,Lideranca politica ela ja teve isso,Lideranca politica,lideranca politica,lideranc poli
Ela sabe o que é isso?,Ela sabe o que é isso?,1,Ela sabe o que é isso,Ela sabe o que e isso,Ela sabe,ela sabe,ela sab
É verdade Marina ?,É verdade Marina ?,1,É verdade Marina ,E verdade Marina ,E verdade Marina,e verdade marina,e verdad marin
Só agora que você percebeu ?,Só agora que você percebeu ?,1,Só agora que você percebeu ,So agora que voce percebeu ,So agora percebeu,so agora percebeu,so agor perceb
"Resta ao FHC ficar repetindo que no seu tempo, o Brasil era organizado... menos a corrupção ...","Resta ao FHC ficar repetindo que no seu tempo, o Brasil era organizado... menos a corrupção ...",1,Resta ao FHC ficar repetindo que no seu tempo o Brasil era organizado menos a corrupção ,Resta ao FHC ficar repetindo que no seu tempo o Brasil era organizado menos a corrupcao ,Resta FHC ficar repetindo tempo Brasil organizado menos corrupcao,resta fhc ficar repetindo tempo brasil organizado menos corrupcao,rest fhc fic repet temp brasil organiz menos corrupca
"Contudo, vai ser difícil nós nos acostumarmos ao [""silêncio das virtudes""]P1 tucanas...","Contudo, vai ser difícil nós nos acostumarmos ao [""silêncio das virtudes""]P1 tucanas...",1,Contudo vai ser difícil nós nos acostumarmos ao silêncio das virtudesP1 tucanas,Contudo vai ser dificil nos nos acostumarmos ao silencio das virtudesP1 tucanas,Contudo vai ser dificil acostumarmos silencio virtudesP1 tucanas,contudo vai ser dificil acostumarmos silencio virtudesp1 tucanas,contud vai ser dificil acostum silenci virtudesp1 tucan
"Decididamente, no [tucpassado]P3 silencioso, nós nunca sabíamos de [tucnada]P3... era o maior [tuctédio]P3 !","Decididamente, no tucpassado silencioso, nós nunca sabíamos de tucnada... era o maior tuctédio !",1,Decididamente no tucpassado silencioso nós nunca sabíamos de tucnada era o maior tuctédio ,Decididamente no tucpassado silencioso nos nunca sabiamos de tucnada era o maior tuctedio ,Decididamente tucpassado silencioso nunca sabiamos tucnada maior tuctedio,decididamente tucpassado silencioso nunca sabiamos tucnada maior tuctedio,decidid tucpass silenci nunc sabi tucn mai tuctedi
"Corrupto também, a cervejaria de sua família investiu milhões para a presidente de manter e agora sela acordo com cargo de presente da madrinha.","Corrupto também, a cervejaria de sua família investiu milhões para a presidente de manter e agora sela acordo com cargo de presente da madrinha.",1,Corrupto também a cervejaria de sua família investiu milhões para a presidente de manter e agora sela acordo com cargo de presente da madrinha,Corrupto tambem a cervejaria de sua familia investiu milhoes para a presidente de manter e agora sela acordo com cargo de presente da madrinha,Corrupto cervejaria familia investiu milhoes presidente manter agora sela acordo cargo presente madrinha,corrupto cervejaria familia investiu milhoes presidente manter agora sela acordo cargo presente madrinha,corrupt cervej famil invest milho presid mant agor sel acord carg pres madr
Caixa 2?,Caixa 2?,1,Caixa 2,Caixa 2,Caixa 2,caixa 2,caix 2
Lobão possivelmente será candidato.,Lobão possivelmente será candidato.,1,Lobão possivelmente será candidato,Lobao possivelmente sera candidato,Lobao possivelmente candidato,lobao possivelmente candidato,loba possi candidat
Parece estar no Reino da Dinamarca.,Parece estar no Reino da Dinamarca.,1,Parece estar no Reino da Dinamarca,Parece estar no Reino da Dinamarca,Parece estar Reino Dinamarca,parece estar reino dinamarca,parec est rein dinamarc
"Medidas articuladas e repentinas, Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos?","Medidas articuladas e repentinas, Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos?",1,Medidas articuladas e repentinas Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos,Medidas articuladas e repentinas Mercadante discutindo o teor da redacao e vasculhando o conteudo dos alunos,Medidas articuladas repentinas Mercadante discutindo teor redacao vasculhando conteudo alunos,medidas articuladas repentinas mercadante discutindo teor redacao vasculhando conteudo alunos,med articul repentin mercad discut te redaca vasculh conteud alun
pedindo pazes com Temer tipo jardim da infância?,pedindo pazes com Temer tipo jardim da infância?,1,pedindo pazes com Temer tipo jardim da infância,pedindo pazes com Temer tipo jardim da infancia,pedindo pazes Temer tipo jardim infancia,pedindo pazes temer tipo jardim infancia,ped paz tem tip jardim infanc
café da manhã News com jornalistas?,café da manhã News com jornalistas?,1,café da manhã News com jornalistas,cafe da manha News com jornalistas,cafe manha News jornalistas,cafe manha news jornalistas,caf manh new jornal
Golpismo é aceitar ser presidenta e ser [incompetenta]P3.,Golpismo é aceitar ser presidenta e ser incompetenta.,1,Golpismo é aceitar ser presidenta e ser incompetenta,Golpismo e aceitar ser presidenta e ser incompetenta,Golpismo aceitar ser presidenta ser incompetenta,golpismo aceitar ser presidenta ser incompetenta,golp aceit ser president ser incompetent
Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato.,Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato.,1,Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato,Fico pensando se nao e melhor que ela fique ofegando e ofegante ate o termino do mandato,Fico pensando melhor fique ofegando ofegante termino mandato,fico pensando melhor fique ofegando ofegante termino mandato,fic pens melhor fiqu ofeg ofeg termin mandat
"""já mais""?","""já mais""?",1,já mais,ja mais,,,
"Por generosidade e grandiosidade, renuncie.","Por generosidade e grandiosidade, renuncie.",1,Por generosidade e grandiosidade renuncie,Por generosidade e grandiosidade renuncie,Por generosidade grandiosidade renuncie,por generosidade grandiosidade renuncie,por generos grandios renunci
Passaremos a amá-la incondicionalmente.,Passaremos a amá-la incondicionalmente.,1,Passaremos a amála incondicionalmente,Passaremos a amala incondicionalmente,Passaremos amala incondicionalmente,passaremos amala incondicionalmente,pass amal incondic
Nada de irregular? [kkkk]P5,Nada de irregular? kkkk,1,Nada de irregular kkkk,Nada de irregular kkkk,Nada irregular kkkk,nada irregular kkkk,nad irregul kkkk
Mas dai pergunto: e se essa candidata escondeu tudo de ruim e mentiu para seus eleitores?,Mas dai pergunto: e se essa candidata escondeu tudo de ruim e mentiu para seus eleitores?,1,Mas dai pergunto e se essa candidata escondeu tudo de ruim e mentiu para seus eleitores,Mas dai pergunto e se essa candidata escondeu tudo de ruim e mentiu para seus eleitores,Mas dai pergunto candidata escondeu tudo ruim mentiu eleitores,mas dai pergunto candidata escondeu tudo ruim mentiu eleitores,mas dai pergunt candidat escond tud ruim ment elei
Isso não é motivo?,Isso não é motivo?,1,Isso não é motivo,Isso nao e motivo,Isso motivo,isso motivo,iss motiv
Mentir e jogar tudo para debaixo do tapete pode?,Mentir e jogar tudo para debaixo do tapete pode?,1,Mentir e jogar tudo para debaixo do tapete pode,Mentir e jogar tudo para debaixo do tapete pode,Mentir jogar tudo debaixo tapete pode,mentir jogar tudo debaixo tapete pode,ment jog tud debaix tapet pod
Então senhores caloteiros...ao prometer que vai pagar quando pegar um dindin emprestado e não pagar não é crime!,Então senhores caloteiros...ao prometer que vai pagar quando pegar um dindin emprestado e não pagar não é crime!,1,Então senhores caloteirosao prometer que vai pagar quando pegar um dindin emprestado e não pagar não é crime,Entao senhores caloteirosao prometer que vai pagar quando pegar um dindin emprestado e nao pagar nao e crime,Entao senhores caloteirosao prometer vai pagar pegar dindin emprestado pagar crime,entao senhores caloteirosao prometer vai pagar pegar dindin emprestado pagar crime,enta senh caloteirosa promet vai pag peg dindin emprest pag crim
Ou é?,Ou é?,1,Ou é,Ou e,Ou,ou,ou
Vixe...me confundi todo!,Vixe...me confundi todo!,1,Vixeme confundi todo,Vixeme confundi todo,Vixeme confundi todo,vixeme confundi todo,vixem confund tod
- Alguém conhece algum destes que estão no governo e que saiba trabalhar??,- Alguém conhece algum destes que estão no governo e que saiba trabalhar??,1, Alguém conhece algum destes que estão no governo e que saiba trabalhar, Alguem conhece algum destes que estao no governo e que saiba trabalhar,Alguem conhece algum destes governo saiba trabalhar,alguem conhece algum destes governo saiba trabalhar,algu conhec algum dest govern saib trabalh
"Afinal, o P TTT tirou o Color apesar de gostar muito dele, né?","Afinal, o P TTT tirou o Color apesar de gostar muito dele, né?",1,Afinal o P TTT tirou o Color apesar de gostar muito dele né,Afinal o P TTT tirou o Color apesar de gostar muito dele ne,Afinal P TTT tirou Color apesar gostar ne,afinal p ttt tirou color apesar gostar ne,afinal p ttt tir col apes gost ne
Quer mais ?,Quer mais ?,1,Quer mais ,Quer mais ,Quer,quer,qu
"Todos os meus subordinados são corruptos, eu não.","Todos os meus subordinados são corruptos, eu não.",1,Todos os meus subordinados são corruptos eu não,Todos os meus subordinados sao corruptos eu nao,Todos subordinados corruptos,todos subordinados corruptos,tod subordin corrupt
Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase.,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase.,1,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase,Eu gostaria lembrar onde ouvi frase,eu gostaria lembrar onde ouvi frase,eu gost lembr ond ouv fras
"Menos quando seu partido e ela mesma (era uma zé ninguem na época então não dá prá falar) pediram o impeachment do Color, do Itamar e do FHC. Aí, não era golpe.","Menos quando seu partido e ela mesma (era uma zé ninguem na época então não dá prá falar) pediram o impeachment do Color, do Itamar e do FHC. Aí, não era golpe.",1,Menos quando seu partido e ela mesma era uma zé ninguem na época então não dá prá falar pediram o impeachment do Color do Itamar e do FHC Aí não era golpe,Menos quando seu partido e ela mesma era uma ze ninguem na epoca entao nao da pra falar pediram o impeachment do Color do Itamar e do FHC Ai nao era golpe,Menos partido mesma ze ninguem epoca entao pra falar pediram impeachment Color Itamar FHC Ai golpe,menos partido mesma ze ninguem epoca entao pra falar pediram impeachment color itamar fhc ai golpe,menos part mesm ze ning epoc enta pra fal ped impeachment col itam fhc ai golp
">Acho q eles tão preocupados, milagre né?",">Acho q eles tão preocupados, milagre né?",1,Acho q eles tão preocupados milagre né,Acho q eles tao preocupados milagre ne,Acho q tao preocupados milagre ne,acho q tao preocupados milagre ne,ach q tao preocup milagr ne
>Belo balão de ensaio.,>Belo balão de ensaio.,1,Belo balão de ensaio,Belo balao de ensaio,Belo balao ensaio,belo balao ensaio,bel bala ensai
>Pois perdeu uma grande oportunidade.,>Pois perdeu uma grande oportunidade.,1,Pois perdeu uma grande oportunidade,Pois perdeu uma grande oportunidade,Pois perdeu grande oportunidade,pois perdeu grande oportunidade,poi perd grand oportun
>O PT na oposição é nota 100.,>O PT na oposição é nota 100.,1,O PT na oposição é nota 100,O PT na oposicao e nota 100,O PT oposicao nota 100,o pt oposicao nota 100,o pt oposica not 100
>Nem a [Velhinha]P2 de Taubaté acredita nisso.,>Nem a Velhinha de Taubaté acredita nisso.,1,Nem a Velhinha de Taubaté acredita nisso,Nem a Velhinha de Taubate acredita nisso,Nem Velhinha Taubate acredita nisso,nem velhinha taubate acredita nisso,nem velh taubat acredit niss
>Seria como o Min. Levy que não teve tempo nem de esquentar a cadeira.,>Seria como o Min. Levy que não teve tempo nem de esquentar a cadeira.,1,Seria como o Min Levy que não teve tempo nem de esquentar a cadeira,Seria como o Min Levy que nao teve tempo nem de esquentar a cadeira,Seria Min Levy tempo esquentar cadeira,seria min levy tempo esquentar cadeira,ser min levy temp esquent cade
>Ela se comparou ao Getúlio... bem que ela poderia começar pelo final.,>Ela se comparou ao Getúlio... bem que ela poderia começar pelo final.,1,Ela se comparou ao Getúlio bem que ela poderia começar pelo final,Ela se comparou ao Getulio bem que ela poderia comecar pelo final,Ela comparou Getulio bem poderia comecar final,ela comparou getulio bem poderia comecar final,ela compar getuli bem pod comec final
">Junto com aquele mais honesto do país, que tinham até que canonizá lo de [tão Santo]P6 que é!",">Junto com aquele mais honesto do país, que tinham até que canonizá lo de tão Santo que é!",1,Junto com aquele mais honesto do país que tinham até que canonizá lo de tão Santo que é,Junto com aquele mais honesto do pais que tinham ate que canoniza lo de tao Santo que e,Junto honesto pais canoniza lo tao Santo,junto honesto pais canoniza lo tao santo,junt honest pal canoniz lo tao sant
>É os governos que antecederam o da Pres Dilma e Lula que nada fizeram ou construíram o que existia era fome e miseria; desemprego e i Falcão nas alturas. [Kkkk]P5,>É os governos que antecederam o da Pres Dilma e Lula que nada fizeram ou construíram o que existia era fome e miseria; desemprego e i Falcão nas alturas. Kkkk,1,É os governos que antecederam o da Pres Dilma e Lula que nada fizeram ou construíram o que existia era fome e miseria desemprego e i Falcão nas alturas Kkkk,E os governos que antecederam o da Pres Dilma e Lula que nada fizeram ou construiram o que existia era fome e miseria desemprego e i Falcao nas alturas Kkkk,E governos antecederam Pres Dilma Lula nada fizeram construiram existia fome miseria desemprego i Falcao alturas Kkkk,e governos antecederam pres dilma lula nada fizeram construiram existia fome miseria desemprego i falcao alturas kkkk,e govern anteced pre dilm lul nad fiz constru exist fom mis desempreg i falca altur kkkk
">E' isso ai dona dilma, se correr o bicho pega, se ficar o bicho come.",">E' isso ai dona dilma, se correr o bicho pega, se ficar o bicho come.",1,E isso ai dona dilma se correr o bicho pega se ficar o bicho come,E isso ai dona dilma se correr o bicho pega se ficar o bicho come,E ai dona dilma correr bicho pega ficar bicho come,e ai dona dilma correr bicho pega ficar bicho come,e ai don dilm corr bich peg fic bich com
">Dilma, eu falei da Zika !!",">Dilma, eu falei da Zika !!",1,Dilma eu falei da Zika ,Dilma eu falei da Zika ,Dilma falei Zika,dilma falei zika,dilm fal zik
>brahma parafrasear ídolo césar no senado em 44 ac : tu quoque poste mio ?,>brahma parafrasear ídolo césar no senado em 44 ac : tu quoque poste mio ?,1,brahma parafrasear ídolo césar no senado em 44 ac  tu quoque poste mio ,brahma parafrasear idolo cesar no senado em 44 ac  tu quoque poste mio ,brahma parafrasear idolo cesar senado 44 ac quoque poste mio,brahma parafrasear idolo cesar senado 44 ac quoque poste mio,brahm parafras idol ces sen 44 ac quoqu post mio
>O PGR mudou de nome?,>O PGR mudou de nome?,1,O PGR mudou de nome,O PGR mudou de nome,O PGR mudou nome,o pgr mudou nome,o pgr mud nom
Tudo bem !,Tudo bem !,1,Tudo bem ,Tudo bem ,Tudo bem,tudo bem,tud bem
"Mas se apoia Cunha, decerto despreza Lula e Dilma.","Mas se apoia Cunha, decerto despreza Lula e Dilma.",1,Mas se apoia Cunha decerto despreza Lula e Dilma,Mas se apoia Cunha decerto despreza Lula e Dilma,Mas apoia Cunha decerto despreza Lula Dilma,mas apoia cunha decerto despreza lula dilma,mas apo cunh decert despr lul dilm
Tudo bem !,Tudo bem !,1,Tudo bem ,Tudo bem ,Tudo bem,tudo bem,tud bem
"Só não pode ACUSAR Lula ou Dilma de ter-se [""mancomunado""]P1 com o Sarney, o Renan Calheiros, o Jader Barbalho, o Maluf... afinal essa gente foi eleita legitimamente, e [""não pode ser ignorada por outra autoridade""]P1.","Só não pode ACUSAR Lula ou Dilma de ter-se [""mancomunado""]P1 com o Sarney, o Renan Calheiros, o Jader Barbalho, o Maluf... afinal essa gente foi eleita legitimamente, e [""não pode ser ignorada por outra autoridade""]P1.",1,Só não pode ACUSAR Lula ou Dilma de terse mancomunadoP1 com o Sarney o Renan Calheiros o Jader Barbalho o Maluf afinal essa gente foi eleita legitimamente e não pode ser ignorada por outra autoridadeP1,So nao pode ACUSAR Lula ou Dilma de terse mancomunadoP1 com o Sarney o Renan Calheiros o Jader Barbalho o Maluf afinal essa gente foi eleita legitimamente e nao pode ser ignorada por outra autoridadeP1,So pode ACUSAR Lula Dilma terse mancomunadoP1 Sarney Renan Calheiros Jader Barbalho Maluf afinal gente eleita legitimamente pode ser ignorada outra autoridadeP1,so pode acusar lula dilma terse mancomunadop1 sarney renan calheiros jader barbalho maluf afinal gente eleita legitimamente pode ser ignorada outra autoridadep1,so pod acus lul dilm ters mancomunadop1 sarney renan calh jad barbalh maluf afinal gent eleit legitim pod ser ignor outr autoridadep1
">Esse tipo de gente existe, é inacreditável",">Esse tipo de gente existe, é inacreditável",1,Esse tipo de gente existe é inacreditável,Esse tipo de gente existe e inacreditavel,Esse tipo gente existe inacreditavel,esse tipo gente existe inacreditavel,ess tip gent exist inacredita
>Como está o restante da lista?,>Como está o restante da lista?,1,Como está o restante da lista,Como esta o restante da lista,Como restante lista,como restante lista,com rest list
>Em Curitiba as coisas voam,>Em Curitiba as coisas voam,1,Em Curitiba as coisas voam,Em Curitiba as coisas voam,Em Curitiba coisas voam,em curitiba coisas voam,em curitib cois vo
">pelo que eu to vendo tem gente neste espaço sabendo mais que o procurador geral, só tem jurista.",">pelo que eu to vendo tem gente neste espaço sabendo mais que o procurador geral, só tem jurista.",1,pelo que eu to vendo tem gente neste espaço sabendo mais que o procurador geral só tem jurista,pelo que eu to vendo tem gente neste espaco sabendo mais que o procurador geral so tem jurista,to vendo gente neste espaco sabendo procurador geral jurista,to vendo gente neste espaco sabendo procurador geral jurista,to vend gent nest espac sab procur geral jurist
>Só tem jurista de porta de padaria.,>Só tem jurista de porta de padaria.,1,Só tem jurista de porta de padaria,So tem jurista de porta de padaria,So jurista porta padaria,so jurista porta padaria,so jurist port pad
>Estão preocupados com o [coitadinho]P2 do Cunha.,>Estão preocupados com o coitadinho do Cunha.,1,Estão preocupados com o coitadinho do Cunha,Estao preocupados com o coitadinho do Cunha,Estao preocupados coitadinho Cunha,estao preocupados coitadinho cunha,esta preocup coit cunh
"Nossa, salve o bastião do impeachment.","Nossa, salve o bastião do impeachment.",1,Nossa salve o bastião do impeachment,Nossa salve o bastiao do impeachment,Nossa salve bastiao impeachment,nossa salve bastiao impeachment,noss salv bastia impeachment
">Coitado do Cunha, um dos homens mais honestos do Brasil.",">Coitado do Cunha, um dos homens mais honestos do Brasil.",1,Coitado do Cunha um dos homens mais honestos do Brasil,Coitado do Cunha um dos homens mais honestos do Brasil,Coitado Cunha homens honestos Brasil,coitado cunha homens honestos brasil,coit cunh hom honest brasil
>Tome uma injeção de Moro homem .<opiniao_outraironica></sentence>,>Tome uma injeção de Moro homem .<opiniao_outraironica></sentence>,1,Tome uma injeção de Moro homem opiniao_outraironicasentence,Tome uma injecao de Moro homem opiniao_outraironicasentence,Tome injecao Moro homem opiniao_outraironicasentence,tome injecao moro homem opiniao_outraironicasentence,tom injeca mor hom opiniao_outraironicasentenc
">Calma pessoal, um de cada vez.",">Calma pessoal, um de cada vez.",1,Calma pessoal um de cada vez,Calma pessoal um de cada vez,Calma pessoal cada vez,calma pessoal cada vez,calm pessoal cad vez
>Não espante o Reinão.,>Não espante o Reinão.,1,Não espante o Reinão,Nao espante o Reinao,Nao espante Reinao,nao espante reinao,nao esp reina
>Ele mudou de nome: ENGANO TODO MUNDO.,>Ele mudou de nome: ENGANO TODO MUNDO.,1,Ele mudou de nome ENGANO TODO MUNDO,Ele mudou de nome ENGANO TODO MUNDO,Ele mudou nome ENGANO TODO MUNDO,ele mudou nome engano todo mundo,ele mud nom engan tod mund
>Mesmo que dar a mão ao Marcola.,>Mesmo que dar a mão ao Marcola.,1,Mesmo que dar a mão ao Marcola,Mesmo que dar a mao ao Marcola,Mesmo dar mao Marcola,mesmo dar mao marcola,mesm dar mao marcol
">Pensando bem, o Marcola é menos hipócrita...",">Pensando bem, o Marcola é menos hipócrita...",1,Pensando bem o Marcola é menos hipócrita,Pensando bem o Marcola e menos hipocrita,Pensando bem Marcola menos hipocrita,pensando bem marcola menos hipocrita,pens bem marcol menos hipocrit
>Quem acredita em ministros desse governo levanta o dedo!,>Quem acredita em ministros desse governo levanta o dedo!,1,Quem acredita em ministros desse governo levanta o dedo,Quem acredita em ministros desse governo levanta o dedo,Quem acredita ministros desse governo levanta dedo,quem acredita ministros desse governo levanta dedo,qu acredit ministr dess govern levant ded
>Só se for como celso d ou toninho,>Só se for como celso d ou toninho,1,Só se for como celso d ou toninho,So se for como celso d ou toninho,So celso d toninho,so celso d toninho,so cels d ton
>Aumentar impostos é fácil né?,>Aumentar impostos é fácil né?,1,Aumentar impostos é fácil né,Aumentar impostos e facil ne,Aumentar impostos facil ne,aumentar impostos facil ne,aument impost facil ne
">Devemos ser grato ao P.T e seus eleitores, não é verdade?",">Devemos ser grato ao P.T e seus eleitores, não é verdade?",1,Devemos ser grato ao PT e seus eleitores não é verdade,Devemos ser grato ao PT e seus eleitores nao e verdade,Devemos ser grato PT eleitores verdade,devemos ser grato pt eleitores verdade,dev ser grat pt elei verdad
"Constata-se que tem muita gente fazendo de conta que [""não sabe""]P1 que a crise nasceu lá fora em 2008, e apenas em 2015 desembarcou por aqui.","Constata-se que tem muita gente fazendo de conta que [""não sabe""]P1 que a crise nasceu lá fora em 2008, e apenas em 2015 desembarcou por aqui.",1,Constatase que tem muita gente fazendo de conta que não sabeP1 que a crise nasceu lá fora em 2008 e apenas em 2015 desembarcou por aqui,Constatase que tem muita gente fazendo de conta que nao sabeP1 que a crise nasceu la fora em 2008 e apenas em 2015 desembarcou por aqui,Constatase muita gente fazendo conta sabeP1 crise nasceu la 2008 apenas 2015 desembarcou aqui,constatase muita gente fazendo conta sabep1 crise nasceu la 2008 apenas 2015 desembarcou aqui,constatas muit gent faz cont sabep1 cris nasc la 2008 apen 2015 desembarc aqu
>É a famosa parceria caracu...,>É a famosa parceria caracu...,1,É a famosa parceria caracu,E a famosa parceria caracu,E famosa parceria caracu,e famosa parceria caracu,e fam parc caracu
