sentenca_original,sentenca_processada1,classificacao
"O Brasil está ficando à margem do desenvolvimento mundial, tudo por causa desta porcaria de ideologia.","O Brasil está ficando à margem do desenvolvimento mundial, tudo por causa desta porcaria de ideologia.",0
Dias difíceis estão a caminho,Dias difíceis estão a caminho,0
<expr>Farinha do mesmo s@co</expr>.,<expr>Farinha do mesmo s@co</expr>.,0
"Ser contrária ao impeachment e ou defender a permanência de Dilma no poder é concordar com a impunidade, a corrupção, as mentiras e ilegalidades do governo, que inclusive levaram o país a atual crise.","Ser contrária ao impeachment e ou defender a permanência de Dilma no poder é concordar com a impunidade, a corrupção, as mentiras e ilegalidades do governo, que inclusive levaram o país a atual crise.",0
"A Luciana Genro não quer enxergar que o impeachment tem base jurídica consistente, leis foram violadas, dados econômicos fraudados sistematicamente visando um plano de poder.","A Luciana Genro não quer enxergar que o impeachment tem base jurídica consistente, leis foram violadas, dados econômicos fraudados sistematicamente visando um plano de poder.",0
A saída de Dilma pode sim dar mais credibilidade para o país.,A saída de Dilma pode sim dar mais credibilidade para o país.,0
confirmando sua posição o Merval Pereira coloca tudo isso em um de seus artigos da semana passada no JB.,confirmando sua posição o Merval Pereira coloca tudo isso em um de seus artigos da semana passada no JB.,0
"Linha auxiliar petista, deviam voltar e militar no  P.T.  e assim não enganar os eleitores que são indePendenTes.","Linha auxiliar petista, deviam voltar e militar no  P.T.  e assim não enganar os eleitores que são indePendenTes.",0
<expr>Farinha da mesma colheita</expr>.,<expr>Farinha da mesma colheita</expr>.,0
"Dona, acorda.!","Dona, acorda.!",0
O comunismo acabou.,O comunismo acabou.,0
O socialismo é bom enquanto dura o dinheiro dos outros.,O socialismo é bom enquanto dura o dinheiro dos outros.,0
"Cuba caindo aos pedaços, Venezuela com inflação de 700% ao ano.","Cuba caindo aos pedaços, Venezuela com inflação de 700% ao ano.",0
"Retrógrada é vc e seu pai, outro lunático.","Retrógrada é vc e seu pai, outro lunático.",0
Impeachment já!,Impeachment já!,0
O partido sem moral e adepto da violência é sim ligado ao PT.,O partido sem moral e adepto da violência é sim ligado ao PT.,0
"Seu pai, o metatarso, é um dos pilares do PT e ambos tem ligações com pseudo movimentos sociais com o dos vagabundos do MpL e black blocs","Seu pai, o metatarso, é um dos pilares do PT e ambos tem ligações com pseudo movimentos sociais com o dos vagabundos do MpL e black blocs",0
"Quem ópta por Mao, Marx, Fidel, Stalin, Ditaduras, estadização da Economia, todos vivendo as custas do estado, Modordomia aos burocratas, é o que?","Quem ópta por Mao, Marx, Fidel, Stalin, Ditaduras, estadização da Economia, todos vivendo as custas do estado, Modordomia aos burocratas, é o que?",-1
além do mais só é alguma coisa pelo sobrenome Tarso GENRO,além do mais só é alguma coisa pelo sobrenome Tarso GENRO,0
Essa senhora é a prova cabal do atraso politico brasileiro.,Essa senhora é a prova cabal do atraso politico brasileiro.,0
Propostas vagas e ideal atrasado.,Propostas vagas e ideal atrasado.,0
Nao entendo como tem eleitorado,Nao entendo como tem eleitorado,0
Logo quem vai falar de retrógrado.,Logo quem vai falar de retrógrado.,-1
Ela e sua turma são o que?,Ela e sua turma são o que?,-1
"pertencem ao marxismo de 1848 , do século XIX .","pertencem ao marxismo de 1848 , do século XIX .",1
A saída da Dilma será pela cassação da chapa pelo TSE.,A saída da Dilma será pela cassação da chapa pelo TSE.,0
Opção mais relevante e correta.,Opção mais relevante e correta.,0
"Ok. O jornal, fez com que vc.reaparecesse por 2 minutos, agora desapareça, senao vou chamar o Bolsonaro.","Ok. O jornal, fez com que vc.reaparecesse por 2 minutos, agora desapareça, senao vou chamar o Bolsonaro.",1
O Boçalnaro?,O Boçalnaro?,1
"Quem disse que [""o PT se lambuzou""]P1 foi a folha, com minúscula.","Quem disse que [""o PT se lambuzou""]P1 foi a folha, com minúscula.",0
"Ela  assim traduziu e descontextualizou o que disse o ministro, ignorando o ditado.","Ela  assim traduziu e descontextualizou o que disse o ministro, ignorando o ditado.",0
"Ele citou o ditado [""Quem nunca comeu melado, quando come se lambuza""]P1.","Ele citou o ditado [""Quem nunca comeu melado, quando come se lambuza""]P1.",0
"Dá no mesmo, sim, mas é óbvio que se busca o pior ângulo, aquele que vai se prestar ao descrédito, a ênfase negativa.","Dá no mesmo, sim, mas é óbvio que se busca o pior ângulo, aquele que vai se prestar ao descrédito, a ênfase negativa.",0
Na mosca!!,Na mosca!!,0
"Os que não foram flagrados na lambança, estão aí, posando de [santinhos]P5, mas a verdade é uma só : empresários NUNCA doam, eles emprestam na época eleitoral pra cobrar mais adiante.","Os que não foram flagrados na lambança, estão aí, posando de santinhos, mas a verdade é uma só : empresários NUNCA doam, eles emprestam na época eleitoral pra cobrar mais adiante.",0
"O Brasil tem chances de sair dessa realidade com muita MATURIDADE, desde que não caia na lorota de criminalizar os Petistas, tão somente.","O Brasil tem chances de sair dessa realidade com muita MATURIDADE, desde que não caia na lorota de criminalizar os Petistas, tão somente.",0
Quem plantou o Delcídio na Petrobras ?!,Quem plantou o Delcídio na Petrobras ?!,0
Foi o PSDB.,Foi o PSDB.,0
"Delcídio era um [""negociante""]P1 [Tuctucano]P3, porém, os eleitores não receberam esta [""pequenina""]P1 informação!","Delcídio era um [""negociante""]P1 Tuctucano, porém, os eleitores não receberam esta [""pequenina""]P1 informação!",-1
Eu acredito que o PT será igual ao FHC sumirá do cenário político.,Eu acredito que o PT será igual ao FHC sumirá do cenário político.,0
O erro do  partido  foi continuar a politicagem histórica das classes dominantes nesse país.,O erro do  partido  foi continuar a politicagem histórica das classes dominantes nesse país.,0
Quem consegue criticar o socialismo hoje ao ver as empreiteiras vivendo às custas do imposto do povo?,Quem consegue criticar o socialismo hoje ao ver as empreiteiras vivendo às custas do imposto do povo?,0
"E as famílias milionárias dos Collor, Calheiros, Sarnei, Magalhães pra ficar nas Top.","E as famílias milionárias dos Collor, Calheiros, Sarnei, Magalhães pra ficar nas Top.",0
O quê a PF vem investigando acontece no país todo nas três esferas.,O quê a PF vem investigando acontece no país todo nas três esferas.,0
Culpar somente o PT significa que teremos mais do mesmo nas próximas eleições.,Culpar somente o PT significa que teremos mais do mesmo nas próximas eleições.,0
Pronto... Podem prender todos os [phethebas]P3.,Pronto... Podem prender todos os phethebas.,-1
O JV já confessou [tudinho]P5.,O JV já confessou tudinho.,-1
"Quem é que aprova essa [""faxina meia-sola""]P1 do Fábio Nogueira ?!","Quem é que aprova essa [""faxina meia-sola""]P1 do Fábio Nogueira ?!",0
Como explicar a montanha de dinheiro da Oposição ?! </sentence>,Como explicar a montanha de dinheiro da Oposição ?! </sentence>,0
"Bondade empresarial, é ?!","Bondade empresarial, é ?!",1
"Uma delação feita no primeiro dia de julho de 2015, contém acusação contra o Aecim, no entanto, só [""vazou""]P1 agora em janeiro de 2016 !!!","Uma delação feita no primeiro dia de julho de 2015, contém acusação contra o Aecim, no entanto, só [""vazou""]P1 agora em janeiro de 2016 !!!",-1
"Até por esse motivo, devemos manter o PT no poder... tudo vem à tona.","Até por esse motivo, devemos manter o PT no poder... tudo vem à tona.",0
"Caso os [Tuctucanos]P3 retornem, voltaremos ao [tucpassado]P3, quando NUNCA [tucsabíamos]P3 de [tucnada]P3.","Caso os Tuctucanos retornem, voltaremos ao tucpassado, quando NUNCA tucsabíamos de tucnada.",-1
"Com eles, até as informações são roubadas...","Com eles, até as informações são roubadas...",-1
"pt e tambem : impeachment de Collor , tentativa de impeachment do Itamar Franco e a mesma coisa com FHC.","pt e tambem : impeachment de Collor , tentativa de impeachment do Itamar Franco e a mesma coisa com FHC.",0
Com Collor conseguiu .,Com Collor conseguiu .,0
O lula  NUNCA aceitou perder no Voto de Collor.,O lula  NUNCA aceitou perder no Voto de Collor.,0
Hoje o pt chama isso de Golpe ...,Hoje o pt chama isso de Golpe ...,0
O impeachment dos outros somente ...,O impeachment dos outros somente ...,1
"Quando um petista no cargo de ministro da casa civil diz que o PT se lambuzou, não precisam dizer mais nada.","Quando um petista no cargo de ministro da casa civil diz que o PT se lambuzou, não precisam dizer mais nada.",-1
"Pra mim isso é uma confissão de que o partido do governo simplesmente se locupletou, encheu os bolsos.","Pra mim isso é uma confissão de que o partido do governo simplesmente se locupletou, encheu os bolsos.",0
É isso.,É isso.,0
Inteh.,Inteh.,0
"Foram doses de muita doçura que cativaram um público, durante estes anos no poder.","Foram doses de muita doçura que cativaram um público, durante estes anos no poder.",0
"Porém, chegou o momento amargo de dizer que o doce acabou e agora, que segurem as pontas daqueles viciados e desesperados por doce, que clamam por uma pitada que seja, daquilo que acabou.","Porém, chegou o momento amargo de dizer que o doce acabou e agora, que segurem as pontas daqueles viciados e desesperados por doce, que clamam por uma pitada que seja, daquilo que acabou.",0
"Faltou o equilíbrio então, administrem as consequências.","Faltou o equilíbrio então, administrem as consequências.",0
Pretendo comentar apenas a frase que serviu de título para a reportagem: PT reproduziu metodologias antigas e se lambuzou.,Pretendo comentar apenas a frase que serviu de título para a reportagem: PT reproduziu metodologias antigas e se lambuzou.,0
"Melhor seria, PT foi aos cofres e se fartou.","Melhor seria, PT foi aos cofres e se fartou.",-1
Jaques Wagner deveria respeitar as cãs e por de lado a falsa modéstia.,Jaques Wagner deveria respeitar as cãs e por de lado a falsa modéstia.,0
"O PT no tempo de FHC era a Vestal da Ética e ao assumir o poder trocou de roupagem e discurso e passou a ser a Prostituta da Ética e da Moral no Exercício do Poder, após expurgo eleitoral, quem sabe ressurja com os ideais de parte dos seus melhores fundadores.","O PT no tempo de FHC era a Vestal da Ética e ao assumir o poder trocou de roupagem e discurso e passou a ser a Prostituta da Ética e da Moral no Exercício do Poder, após expurgo eleitoral, quem sabe ressurja com os ideais de parte dos seus melhores fundadores.",0
"Segundo ela, a oposição aumentaria os preços da energia e dos combustíveis, e subiria a taxa de juros para controlar a inflação, favorecendo os banqueiros e tirando a comida do prato dos pobres.","Segundo ela, a oposição aumentaria os preços da energia e dos combustíveis, e subiria a taxa de juros para controlar a inflação, favorecendo os banqueiros e tirando a comida do prato dos pobres.",0
"Uma vez eleita, foi obrigada a adotar medidas que antes condenara, gerando vertiginosa queda de confiança em si e no seu governo, e colhendo a perda da sua capacidade de governar.","Uma vez eleita, foi obrigada a adotar medidas que antes condenara, gerando vertiginosa queda de confiança em si e no seu governo, e colhendo a perda da sua capacidade de governar.",0
Estamos vivendo uma das recessões mais longas e mais profundas dos últimos 35 anos.,Estamos vivendo uma das recessões mais longas e mais profundas dos últimos 35 anos.,0
"O que nem todos perceberam, contudo, é que o País já estava em recessão durante a campanha eleitoral de 2014, enquanto a presidente Dilma Rousseff garantia que vivíamos em um País próspero e florescente, e acusava a oposição de propor um ajuste fiscal que levaria à recessão.","O que nem todos perceberam, contudo, é que o País já estava em recessão durante a campanha eleitoral de 2014, enquanto a presidente Dilma Rousseff garantia que vivíamos em um País próspero e florescente, e acusava a oposição de propor um ajuste fiscal que levaria à recessão.",0
"existe um animal que representa muito bem essa situação desse partido, é a hiena.","existe um animal que representa muito bem essa situação desse partido, é a hiena.",-1
"Elas são canibais dentro dos próprios grupos, esse cenario não é diferente.","Elas são canibais dentro dos próprios grupos, esse cenario não é diferente.",0
"Ja estão atras de um lider, problema é achar um [limpinho]P5.","Ja estão atras de um lider, problema é achar um limpinho.",-1
"Verdade seja dita: “Nos preocupamos com o estabelecimento de uma sociedade mais igual e mais justa, contudo não há nenhum sinal de que o crescimento econômico tenha tido especial atenção na agenda de aprimoramento institucional”, defende Luiz Schymura.","Verdade seja dita: “Nos preocupamos com o estabelecimento de uma sociedade mais igual e mais justa, contudo não há nenhum sinal de que o crescimento econômico tenha tido especial atenção na agenda de aprimoramento institucional”, defende Luiz Schymura.",0
"Outros, porém, como Affonso Celso Pastore, argumentam que “o desastre foi cuidadosamente plantado pelo governo”.","Outros, porém, como Affonso Celso Pastore, argumentam que “o desastre foi cuidadosamente plantado pelo governo”.",0
"Um verdadeiro Lord, um fidalgo falando!","Um verdadeiro Lord, um fidalgo falando!",1
Parece àqueles caras com microfone na porta da loja de roupas baratas.,Parece àqueles caras com microfone na porta da loja de roupas baratas.,1
"[""Quase chego às lágrimas!""/aspas>.","[""Quase chego às lágrimas!""/aspas>.",1
Estou comovido com tanta contrição e surpresa.,Estou comovido com tanta contrição e surpresa.,1
"Para eles, foi uma novidade, tanto a descoberta de falcatruas do partido e de seus membros, como o fiasco e a catástrofe que provocam gargalhadas na comunidade econômica mundial e esta medíocre situação do país.","Para eles, foi uma novidade, tanto a descoberta de falcatruas do partido e de seus membros, como o fiasco e a catástrofe que provocam gargalhadas na comunidade econômica mundial e esta medíocre situação do país.",0
"Mas, não!","Mas, não!",1
"Agora, vamos aguardar a defesa acalorada da turma da sinecura  governamenta","Agora, vamos aguardar a defesa acalorada da turma da sinecura  governamenta",0
"A assinatura do atestado de absoluta inépcia, deveria ser a da [""Rainha do Engôdo""]P1.","A assinatura do atestado de absoluta inépcia, deveria ser a da [""Rainha do Engôdo""]P1.",-1
"O [""Mea Culpa""]P1 tem que ser dela.","O [""Mea Culpa""]P1 tem que ser dela.",0
"Mas, não há nem dignidade nem nobreza suficiente para isso.","Mas, não há nem dignidade nem nobreza suficiente para isso.",0
"Então, o Múcio aqui, é escalado, por sua pseudo-fidalguia, seus trejeitos e técnicas de oratória e plataforma, para subscrever.","Então, o Múcio aqui, é escalado, por sua pseudo-fidalguia, seus trejeitos e técnicas de oratória e plataforma, para subscrever.",-1
"Tenta mostrar [""contrição""]P1 e surpresa.","Tenta mostrar [""contrição""]P1 e surpresa.",-1
O PT e este governo são um só.,O PT e este governo são um só.,0
"Isso precisa ficar bem claro nas próximas eleições, pois antes delas, eles se borram.","Isso precisa ficar bem claro nas próximas eleições, pois antes delas, eles se borram.",0
"Depois, riem-se!","Depois, riem-se!",0
"Não só reproduziu, maximizou e agora temos o que temos um desgovernno generalizado, interessante será que os [kukunpaneiros]P3 vão chamá-lo de [kochinha]P5?","Não só reproduziu, maximizou e agora temos o que temos um desgovernno generalizado, interessante será que os kukunpaneiros vão chamá-lo de kochinha?",-1
Ou que ele é a [selite]P3 [pranka]P3?,Ou que ele é a selite pranka?,-1
"Ou ainda,que ele é influenciado pela [mitia]P3?","Ou ainda,que ele é influenciado pela mitia?",-1
Ou vão ficar em silencio e nem comentar esse artigo?,Ou vão ficar em silencio e nem comentar esse artigo?,-1
renuncie dilma.,renuncie dilma.,0
"Meus Caros, Se observarmos a lógica petista, o titular da Casa Civil sempre foi o candidato à sucessão.","Meus Caros, Se observarmos a lógica petista, o titular da Casa Civil sempre foi o candidato à sucessão.",0
"Creio que essa [""mea culpa""]P1 é uma estratégica do entrevistado para se desvencilhar dos fatos e tentar emplacar mais uma eleição.","Creio que essa [""mea culpa""]P1 é uma estratégica do entrevistado para se desvencilhar dos fatos e tentar emplacar mais uma eleição.",0
Fiquemos alertas !!!,Fiquemos alertas !!!,0
Única verdade absoluta neste (des)governo é que está tudo errado...,Única verdade absoluta neste (des)governo é que está tudo errado...,0
"As práticas nepotistas e do toma lá da cá, perduram desde o inicio da republica, uma heranças imperial européia.","As práticas nepotistas e do toma lá da cá, perduram desde o inicio da republica, uma heranças imperial européia.",0
"O PT traiu seus princípios básicos para uma política baseada na representatividade e na moralidade publica, hoje esse contexto, ainda perdura em todos os partidos que ai estão, a diferença está no grau de imoralidade que dominou nossa política atual com os escândalos recentes, creio que esse contexto, ainda vai predominar com qualquer partido que ai está, se chegar a Presidir o Brasil","O PT traiu seus princípios básicos para uma política baseada na representatividade e na moralidade publica, hoje esse contexto, ainda perdura em todos os partidos que ai estão, a diferença está no grau de imoralidade que dominou nossa política atual com os escândalos recentes, creio que esse contexto, ainda vai predominar com qualquer partido que ai está, se chegar a Presidir o Brasil",0
Ou seja o golpe bolivariano da reforma política encabeçada por um partido marxista já deveria ter sido dado.,Ou seja o golpe bolivariano da reforma política encabeçada por um partido marxista já deveria ter sido dado.,-1
O bote da serpente na democracia.,O bote da serpente na democracia.,0
A Venezuela [chavista]P3 é o espelho deste discurso.,A Venezuela chavista é o espelho deste discurso.,0
Hoje,Hoje,0
- MONARQUIA TRAVESTIDA!,- MONARQUIA TRAVESTIDA!,0
"Mais uma entrevista pífia, fraca e provavelmente encomendada à folha pra tentar desfazer a crença verdadeira de que o PTismo esta levando o Brasil a desgraça.","Mais uma entrevista pífia, fraca e provavelmente encomendada à folha pra tentar desfazer a crença verdadeira de que o PTismo esta levando o Brasil a desgraça.",0
"Ele ate começou a entrevista bem, admitindo que o PT se lambuzou quando chegou ao poder.","Ele ate começou a entrevista bem, admitindo que o PT se lambuzou quando chegou ao poder.",0
"AO dizer que o Brasil foi atingido pela crise internacional , eu parei de lêr , mais um que tenta incutir essa mentira na cabeça de nosso povo.","AO dizer que o Brasil foi atingido pela crise internacional , eu parei de lêr , mais um que tenta incutir essa mentira na cabeça de nosso povo.",0
DIlma fez estripulias p se reeleger e por isso estamos assim.,DIlma fez estripulias p se reeleger e por isso estamos assim.,0
"Nenhum outro país na AM latina , esta assim","Nenhum outro país na AM latina , esta assim",0
"[Pixuleco]P3 tem, o que não tem mais é óleo de peroba, o pete acabou com todo o estoque.","Pixuleco tem, o que não tem mais é óleo de peroba, o pete acabou com todo o estoque.",1
Vish... Desenvolvimentismo?,Vish... Desenvolvimentismo?,1
Modulacao no ajuste (Q admitidamebte não houve por falta de apoio parlamentar) ?,Modulacao no ajuste (Q admitidamebte não houve por falta de apoio parlamentar) ?,1
"Agora vao terminar de quebrar o país, mesmo.","Agora vao terminar de quebrar o país, mesmo.",-1
Boa noite e boa sorte.,Boa noite e boa sorte.,1
Resumo da ópera...2.016 será salvem-se quem puder!,Resumo da ópera...2.016 será salvem-se quem puder!,0
"O pt, tambem , colocou o Brasil fora de todos os acordos comerciais internacionais  .","O pt, tambem , colocou o Brasil fora de todos os acordos comerciais internacionais  .",0
O pt corre atras do rabo .,O pt corre atras do rabo .,0
Mercosul : so ditaduras decadentes .,Mercosul : so ditaduras decadentes .,0
este e o projeto do pt.,este e o projeto do pt.,0
"Quem nao esta no Mercosul , como Chile , Peru , colombia , junto com Mexico faz acordos com USA , europa , China , Japao , e da certo , as economias deles crescam com baixa inflaçao .","Quem nao esta no Mercosul , como Chile , Peru , colombia , junto com Mexico faz acordos com USA , europa , China , Japao , e da certo , as economias deles crescam com baixa inflaçao .",0
Para pt: viva Venezuela ... e os Bolivarianos ..,Para pt: viva Venezuela ... e os Bolivarianos ..,1
O pt tem muito mais que lamentar ...,O pt tem muito mais que lamentar ...,0
Renuncie Dilma!,Renuncie Dilma!,0
Uma decepção.,Uma decepção.,0
Nem se Deus se candidatar pelo PT votarei.,Nem se Deus se candidatar pelo PT votarei.,-1
Renuncie Dilma.,Renuncie Dilma.,0
´Tudo papo furado.,´Tudo papo furado.,0
Jogo de cena.,Jogo de cena.,0
"Fiquem aí mil anos, ninguém acreditará mais.","Fiquem aí mil anos, ninguém acreditará mais.",0
E quando falam em democracia colocamos a mão nos bolsos.,E quando falam em democracia colocamos a mão nos bolsos.,0
"Mas há filme q está dando certo c/ metodologias [painhos]P5 *** [ Festa na Zona com Dimdim do Povo ] *** c/ [zartistas]P3 [zonestu]P3 :  [painho]P5  + [Mainha]P5 do BR  / os mocinhos # trechos do filme : US$ na kueka num póodi mais, mas póodi US$ na//CENSURADO /","Mas há filme q está dando certo c/ metodologias painhos ***  Festa na Zona com Dimdim do Povo  *** c/ zartistas zonestu :  painho  + Mainha do BR  / os mocinhos # trechos do filme : US$ na kueka num póodi mais, mas póodi US$ na//CENSURADO /",1
Em 2002 comentei: Quem nunca lambeu mel; acaba se lambuzando.,Em 2002 comentei: Quem nunca lambeu mel; acaba se lambuzando.,0
"Obrigado ministro, pelo menos, as idéias são pares, ne?","Obrigado ministro, pelo menos, as idéias são pares, ne?",1
"Foram looooooongggggeeeee demais, caras.","Foram looooooongggggeeeee demais, caras.",0
"Quebraram o país e agora, o que fazer????","Quebraram o país e agora, o que fazer????",0
"Mentir, mentir, entregar mais [""emendas""]P1 aos políticos para que [""enterrem""]P1 o impeachment.","Mentir, mentir, entregar mais [""emendas""]P1 aos políticos para que [""enterrem""]P1 o impeachment.",0
"Brazil, zil, zil!!!","Brazil, zil, zil!!!",1
A saída mais lúcida ainda é o aeroporto.,A saída mais lúcida ainda é o aeroporto.,1
"Para quem pode, boa sorte!.","Para quem pode, boa sorte!.",-1
Que <expressão>cara de pau</expressão>!,Que <expressão>cara de pau</expressão>!,0
"O PT nunca reproduziu nada, foi ele criou tudo o que praticou e pratica hoje, se lambuzou e se lambuza na sua própria criação.","O PT nunca reproduziu nada, foi ele criou tudo o que praticou e pratica hoje, se lambuzou e se lambuza na sua própria criação.",0
"Nunca houve no país aquilo que o PT fez, jamais.","Nunca houve no país aquilo que o PT fez, jamais.",0
A única reforma política que o PT deseja é aquela que leve à ditadura!,A única reforma política que o PT deseja é aquela que leve à ditadura!,0
"Como dizia com sinceridade [""Joseph Goebbels""]P1 uma mentira repetida, repetida repetida torna-se realidade.","Como dizia com sinceridade [""Joseph Goebbels""]P1 uma mentira repetida, repetida repetida torna-se realidade.",0
"Quanta mentira, inverdades e desonestidade em uma entrevista [tão curta]P6.","Quanta mentira, inverdades e desonestidade em uma entrevista tão curta.",0
Entrevista chapa branca,Entrevista chapa branca,0
Que tal entrevistar o Aécio Neves!?,Que tal entrevistar o Aécio Neves!?,1
"Entrevista chapa vermelha, como já foi dito.","Entrevista chapa vermelha, como já foi dito.",0
Que tal entrevistar o o Aécio Neves.,Que tal entrevistar o o Aécio Neves.,1
"A única verdade desta entrevista é a parte da ""nos lambuzamos ( corrupção [[""phethissta""]P3]P1 ).","A única verdade desta entrevista é a parte da ""nos lambuzamos ( corrupção [[""phethissta""]P3]P1 ).",0
"O resto é culpando a oposição, o resto do mundo, o et de varginha pela incompetência deste  governo/partido .","O resto é culpando a oposição, o resto do mundo, o et de varginha pela incompetência deste  governo/partido .",-1
Para se manter no poder todas as armas sao validas.,Para se manter no poder todas as armas sao validas.,0
"Para a oposicao, qualquer jogada eh golpe, tapetao...","Para a oposicao, qualquer jogada eh golpe, tapetao...",0
"Convenhamos, isto eh democracia?","Convenhamos, isto eh democracia?",0
Onde?,Onde?,-1
Não é possível acreditar em mais nada que venha do PT.,Não é possível acreditar em mais nada que venha do PT.,0
Não assume erros e sempre acha um culpado que não seja da cúpula !,Não assume erros e sempre acha um culpado que não seja da cúpula !,0
Em um ponto concordo com o ministro.,Em um ponto concordo com o ministro.,0
Para o PT seria melhor que o governo tivesse sofrido o impeachment em 2005.,Para o PT seria melhor que o governo tivesse sofrido o impeachment em 2005.,0
Assumiria o governo o Vice José de Alencar.,Assumiria o governo o Vice José de Alencar.,0
Um Homem respeitado e de confiança de todos.,Um Homem respeitado e de confiança de todos.,0
O PT poderia fazer um a limpeza e voltar com tudo na eleição seguinte e reassumir o seu papel de partido etico.,O PT poderia fazer um a limpeza e voltar com tudo na eleição seguinte e reassumir o seu papel de partido etico.,0
"Então terminados trabalhos pesados nos porões da Confraria [Painhos]P5 ( Lu, prof Color,  [mainha]P5 do BR )?","Então terminados trabalhos pesados nos porões da Confraria Painhos ( Lu, prof Color,  mainha do BR )?",1
Transformado partidão em BDMP ~ Bom Dizmais Mô Paipai partido pru fióti inteigenti prizidenti ?,Transformado partidão em BDMP ~ Bom Dizmais Mô Paipai partido pru fióti inteigenti prizidenti ?,1
"Nem que a vaca tussa vou tirar direitos dos trabalhadores, sei...","Nem que a vaca tussa vou tirar direitos dos trabalhadores, sei...",1
"E de presente para todo mundo, em especial para quem acreditou e perdeu o emprego com a pifia economia, deu uma mandioca de presente de natal ...","E de presente para todo mundo, em especial para quem acreditou e perdeu o emprego com a pifia economia, deu uma mandioca de presente de natal ...",-1
"Jaques está de parabéns, o meu final de ano me lambuzei de arroz com farofa a carne ficou pra quem, adivinhem, claro Pra Turma do maiusculo","Jaques está de parabéns, o meu final de ano me lambuzei de arroz com farofa a carne ficou pra quem, adivinhem, claro Pra Turma do maiusculo",1
O governo estabelecido reproduziu metodologias antigas elevadas a décima potência.,O governo estabelecido reproduziu metodologias antigas elevadas a décima potência.,0
"Lambuzou-se literalmente. ... da corrupção, dos desmandos, da incompetencia, do populismo, das mentiras, etc!","Lambuzou-se literalmente. ... da corrupção, dos desmandos, da incompetencia, do populismo, das mentiras, etc!",0
Na verdade fez uma lambança!,Na verdade fez uma lambança!,0
O Zé Simão diz que o Jaques Wagner parece o comandante do Titanic.,O Zé Simão diz que o Jaques Wagner parece o comandante do Titanic.,0
Ou seria [PTitanic]P3.,Ou seria PTitanic.,1
A orquestra já afundou...Em Curitiba.,A orquestra já afundou...Em Curitiba.,-1
Entrevista péssima.,Entrevista péssima.,0
Os entrevistadores apenas deram ao entrevistado oportunidades para jogar a culpa na oposição.,Os entrevistadores apenas deram ao entrevistado oportunidades para jogar a culpa na oposição.,0
Que perda de tempo.,Que perda de tempo.,0
Primeiro aquela trapaça da  vilma .,Primeiro aquela trapaça da  vilma .,0
"Agora, o mi mi mi deste elemento aí.","Agora, o mi mi mi deste elemento aí.",-1
"Não há dúvida, nosso [""pravda""]P1 [bolivarizou]P3 de vez...","Não há dúvida, nosso [""pravda""]P1 bolivarizou de vez...",0
"Mentiras,mentiras,mentiras, distorções, desculpas esfarrapadas, irresponsabilidade, incompetência, inépcia.","Mentiras,mentiras,mentiras, distorções, desculpas esfarrapadas, irresponsabilidade, incompetência, inépcia.",0
[Esse sujeito]P7 segue o roteiro e estratégia de seus líderes.,Esse sujeito segue o roteiro e estratégia de seus líderes.,0
Querem saber de suas qualidades?,Querem saber de suas qualidades?,0
Vejam o que aprontou a frente do desgoverno na Bahia.,Vejam o que aprontou a frente do desgoverno na Bahia.,0
"Parodiando o Moro, isso não vem ao caso!","Parodiando o Moro, isso não vem ao caso!",-1
O verbo é outro.,O verbo é outro.,0
"Como sempre a culpa é dos outros, ele são uns anjos...","Como sempre a culpa é dos outros, ele são uns anjos...",1
Provando o quando eles vivem fora deste planeta.,Provando o quando eles vivem fora deste planeta.,-1
Nos poupe JW.,Nos poupe JW.,0
Não nos rotule de imbecis.,Não nos rotule de imbecis.,0
Depois de taxar o governo anterior de entreguista e subalterno ao FMI.,Depois de taxar o governo anterior de entreguista e subalterno ao FMI.,0
Depois de durante anos desqualificar a oposição e nunca ter mudado nada do que o governo anterior fez.,Depois de durante anos desqualificar a oposição e nunca ter mudado nada do que o governo anterior fez.,0
Depois de mentir e esconder do povo a real situação do País.,Depois de mentir e esconder do povo a real situação do País.,0
"Depois de roubar o País, aparelhar o Estado e intimidar as Instituições.","Depois de roubar o País, aparelhar o Estado e intimidar as Instituições.",0
"Agra, depois de perder o discurso da ética, do compromisso com o povo e do tal de ""crescimento sustentável, vem o senhor atribuir a erros.","Agra, depois de perder o discurso da ética, do compromisso com o povo e do tal de ""crescimento sustentável, vem o senhor atribuir a erros.",0
Não foi não.,Não foi não.,0
Mentiras e mais mentiras.,Mentiras e mais mentiras.,0
"Jaques, chega de pt","Jaques, chega de pt",0
"Quer dizer então que a culpa pelo fiasco é da opos$$ç**o e da [""crise""]P1 externa.","Quer dizer então que a culpa pelo fiasco é da opos$$ç**o e da [""crise""]P1 externa.",-1
"Porque o (des)governo não termina com uns 20 ministérios, cargos comissionados e corta despesas de viagens??","Porque o (des)governo não termina com uns 20 ministérios, cargos comissionados e corta despesas de viagens??",-1
"Eles não aprendem mesmo, vivem em um universo paralelo.","Eles não aprendem mesmo, vivem em um universo paralelo.",0
É o primeiro partido cujos integrantes admitem erros.,É o primeiro partido cujos integrantes admitem erros.,0
Isso é louvável.,Isso é louvável.,0
Mas é preciso mais.,Mas é preciso mais.,0
"O que você acha, Nunes?","O que você acha, Nunes?",0
"Será que estou falando do partido republicano, dos EUA?","Será que estou falando do partido republicano, dos EUA?",1
